"","district_code","area_name","desc","housing","safety","transit","shopping","health","entertainment","community","diversity","education","employment"
"17",100,"Yonge-Eglinton","(Includes parts of Chaplin Estates)
In the past few years, Yonge and Eg has transformed from a quiet intersection into the de facto Las Vegas of midtown, with dozens of skyscraping condos and scores of excellent dining options. Not in the condo market? Real estate prices have dipped four per cent year over year, so now may be a rare opportunity to consider buying a house on one of the neighbourhood’s many lush, shady residential streets. Off the well-trodden Yonge Street path, Eglinton Park offers nature lovers nine hectares of sports fields, a wading pool and—for the civic-history geeks among us—a couple of lost rivers.","28.6","73.6","96.4","50.0","97.1","85.0","67.1","11.4","37.1","92.9"
"18",15,"Kingsway South","(Includes parts of Lambton Mills)
Kingsway south is the epitome of location, location, location. It’s bookended by the Humber River and Mimico Creek, with easy access to the Bloor subway line, as well as lively pedestrian strips on Bloor Street to the south and Dundas to the north. This is one of the few neighbourhoods in the city where you’ll be able to score a sizable detached home for less than $1 million, and more than 80 per cent of Kingsway South dwellers own their homes outright. The neighbourhood isn’t exactly a culinary destination, but aspiring Meghan Markles can still get their fix of posh noshes during high tea at the nearby Old Mill inn.","99.3","89.3","60.7","13.6","80.0","37.9","100.0","2.9","40.0","84.3"
"19",94,"Wychwood","(Includes parts of Bracondale Hill)
For the perfect mix of private space and public amenities, it’s hard to do better than Wychwood. It’s best known for its namesake, Wychwood Park, that dreamy gated hideaway of gorgeous Arts and Crafts homes and the gentle trickle of Taddle Creek. But the neighbourhood is also a community hub, encompassing Artscape Wychwood Barns and busy stretches of Ossington and St. Clair West. It’s stacked with daycare and health facilities, and has excellent walkability and superb transit access, but none of these amenities come cheap: the average house price in Wychwood exceeds $1.2 million, making the area covetable but unaffordable.","32.1","55.7","70.7","90.7","90.0","87.1","37.9","32.1","65.0","80.0"
"20",76,"Bay Street Corridor","(Includes parts of the Financial District)
This slim sliver of real estate spans Front to Bloor and University to Yonge, so you can bet your clacking heels it’s a corporate commuter’s paradise. It has outrageously good walkability and transit access—131 TTC stops—abundant grocery stores, all manner of health care and nearly 500 after-work watering (and eating) holes. It’s ideal for young condo buyers who want to walk to work, but less suited to growing families looking for a backyard and a picket fence.","42.9","3.6","100.0","99.3","87.9","100.0","3.6","70.7","99.3","36.4"
"21",79,"University","(Includes parts of the University of Toronto, Huron Sussex and Harbord Village)
The east side of this downtown neighbourhood is cluttered with U of T residences, lecture halls, cheap noodle houses and, along University Avenue, a lineup of the finest hospitals in Canada. Cross Spadina, however, and you’ll find a family-friendly paradise of shady streets, handsome semis and regular neighbourhood block parties. The dining options are more sophisticated on the west end, too: Harbord Street is home to some of the best restaurants in the city, including Café Cancan, Piano Piano, Rasa and Yasu.","44.3","30.0","94.3","82.1","94.3","95.7","0.7","35.7","100.0","51.4"
"22",58,"Old East York","(Includes parts of Pape Village and Todmorden Village)
in a sleepy enclave tucked just south of Todmorden Village and the Don Valley, this ’hood is super-safe, its schools rank highly, and a solid mid-century semi is gettable for under $900,000. Residents report a strong sense of community, which is undoubtedly a result of their proximity to Coxwell Ravine Park, where people can picnic and dogs can roam as nature intended: off-leash.","80.7","85.0","50.0","38.6","38.6","70.0","93.6","23.6","43.6","82.1"
"23",88,"High Park North","(Includes West Bend)
Scoot a bit north of cherry blossom country and you’ll find still more gorgeous green space: Lithuania Park, home to one of the city’s best tobogganing hills, and Ravina Gardens, a pre–World War I hockey arena now converted to baseball diamonds and beloved by neighbourhood schoolchildren. And speaking of higher learning, this catchment contains Humberside Collegiate and Runnymede Junior and Senior Public School, two schools highly ranked by the Fraser Institute. Crime is low, especially theft, and the neighbourhood is home to excellent restaurants.","39.3","65.7","90.0","70.0","69.3","69.3","41.4","29.3","65.7","80.7"
"24",95,"Annex","(Includes parts of Yorkville and Seaton Village)
The Annex, that lovable mishmash of student bars, coffee shops, yoga studios and the chasm that was once Honest Ed’s (RIP), has one of the most eclectic populations in the city; residents include the mayor, Margaret Atwood and thousands of students. It has excellent transit access and medical care, and a healthy dose of grocery options. And now for the downsides: an average house price of $1.2 million skews on the unaffordable side of the street, and the crime rate could be lower.","42.1","11.4","99.3","93.6","93.6","97.1","13.6","17.1","85.0","75.0"
"25",96,"Casa Loma","(Includes parts of South Hill and Rathnelly)
It’s hard to find a cooler piece of urban real estate than a Gothic revival castle, much less a Gothic revival castle with an escape room. Still, there’s more to this neighbourhood than its namesake. It’s a walkable, low-crime area with ample medical care and solid schools; perks include Tarragon Theatre, Spadina Museum and Anthony Rose’s restaurant empire on Dupont.","60.0","93.6","92.1","25.0","78.6","45.0","31.4","6.4","76.4","92.1"
"26",62,"East End-Danforth","(Includes parts of the Upper Beaches and Beach Hill)
Families priced out of the Beaches might try scooting a few blocks north, to the charming neighbourhood sandwiched between Kingston Road and Gerrard. They’ll find a collection of diverse housing options, from high-rise apartment towers to classic Toronto semis. There’s plenty of friendly green space—mostly in the form of cute corner parkettes with splash pads and off-leash dog areas—and a cluster of cozy cafés and shops on Kingston Road, including local favourite the Beech Tree.","49.3","15.0","90.7","84.3","92.1","82.9","71.4","12.9","57.1","62.1"
"27",87,"High Park-Swansea","(Includes parts of Sunnyside)
With easy access to the Queensway, the nearby St. Joseph’s Hospital and a healthy helping of green space, this neighbourhood is like catnip for young, working families. (They make up more than half of the area’s population.) The year-over-year spike in real estate prices—14 per cent—underscores exactly how covetable this spot is. Transit and grocery options leave something to be desired, but it’s hard to care when the utopian expanse of High Park is at your doorstep.","94.3","40.0","67.1","27.9","96.4","48.6","77.9","16.4","32.1","97.1"
"28",92,"Corso Italia-Davenport","(Includes parts of Regal Heights and Northcliffe Village)
Corso Italia is a dazzling example of how new Canadians have shaped Toronto. More than 80 per cent of neighbourhood residents are first- or second-generation immigrants, and they’ve built up a diverse and boisterous community. The average house costs a relatively reasonable $737,400; many are detached homes and bungalows that buyers can top up with second-floor additions as their families grow. And, of course, food options abound, with fresh markets, retro Italian trattorias and some of the city’s best gelato at La Paloma.","71.4","68.6","55.7","83.6","28.6","87.9","46.4","45.0","37.1","59.3"
"29",73,"Moss Park","(Includes parts of Corktown)
The bulk of housing in Moss Park consists of rental apartments. But the neighbourhood also an unlikely draw for buyers—especially new condo buyers—with prices rising a healthy six per cent year over year and about a third of residents owning their own homes. Why? Sky-high walk and transit scores and a spitting distance to downtown. It’s a little rougher than its east end neighbours, but ideally placed, with easy access to restaurants, mental-health services, Artscape Youngplace, George Brown’s campus and the many pleasures of the east end.","52.9","5.7","95.7","95.0","63.6","94.3","14.3","34.3","96.4","64.3"
"30",31,"Yorkdale-Glen Park","(Includes parts of Lawrence Heights and Glen Long)
The name says it all: retail offerings in this area are nothing to shake a Zara bag at. Aside from the mall, affordable homes make Yorkdale-Glen Park a promising draw, along with plentiful medical care, accessible transit and a robust sense of community (probably from all those mall hangs). The only deterrents: it’s a trek from downtown, even with its ample TTC access, and crime rates could be lower.","82.9","17.9","92.9","71.4","48.6","65.0","19.3","74.3","80.7","46.4"
"31",103,"Lawrence Park South","(Includes parts of Lytton Park, Allenby and Sherwood Park)
This old-money enclave contains abundant ravines, manicured parks, deep lots and homes in all of the covetable early-20th-century styles—Tudor revival, English cottage, Georgian. The main demographics are boomers and families, making this area idyllic but sleepy (even the Yonge Street retail strip is anemic). The walk and transit scores are middling, but the residents are still highly active, taking advantage of the plush park system for running and cycling.","88.6","89.3","52.9","27.1","86.4","32.9","65.0","1.4","48.6","85.7"
"32",75,"Church-Yonge Corridor","(Includes Church and Wellesley Village)
Come summertime, the Church-Wellesley Village a destination for revellers from across town, packed with rainbows, parades and bare bodies. But the people who live in this neighbourhood know that it's is perennially partying. It’s one of Toronto’s buzziest, busiest ’hoods, with hundreds of bars and restaurants along with venues like Massey Hall and the Elgin and Winter Garden Theatres. Over the past few decades, new high-rise condos have replaced the old Victorian housing stock, and two-thirds of locals are renters who've been priced out of ownership.","39.3","1.4","98.6","97.9","89.3","99.3","1.4","42.1","90.7","54.3"
"33",90,"Junction Area","(Includes parts of Harwood and Little Malta)
The railroad-bound Junction was famously dry until 2001, when its century-long prohibition was lifted. Since then, trendy breweries, bars and bakeries have replaced the abattoirs and factories, and the once-affordable homes now regularly sell for $1 million. The hipster-friendly ’hood has earned multiple write-ups in the New York Times—even Diane Keaton went antiquing there between premieres at TIFF—but it’s still missing some of the basics: it lacks direct subway access (buses only), medical facilities and top-tier schools.","67.1","45.7","70.0","75.7","72.9","81.4","21.4","31.4","25.7","89.3"
"34",84,"Little Portugal","(Includes parts of West Queen West)
Given the name, it’s no surprise that this neighbourhood’s most common native tongue, after English, is Portuguese. The influx of Iberian immigrants has been replaced by a new cohort: yuppies. They’re attracted by the juxtaposition of quiet residential streets with ultra-cool bars (The Lockhart, Uncle Mikey’s, the Drake Hotel). Little Portugal’s popularity among the about-to-have-children set has inflated housing prices by 10 per cent in the past year, and although property taxes might soon be going up, at least the locals will be saving on gas: two-thirds of the residents walk, bike or commute to work.","52.1","40.7","78.6","97.1","23.6","92.1","65.0","32.9","28.6","83.6"
"35",77,"Waterfront Communities-The Island","(Includes parts of the Fashion District, Entertainment District, Old Toronto, the Distillery District, Canary District and East Bayfront)
There are as many cranes on the waterfront skyline as there are clubs on King West. Over the past five years, more than 20,000 people have moved into this fledgling ’hood, a growth of some 52 per cent. Restaurants, shops and gyms opened quickly to meet demand, but only recently have community facilities begun to catch up, with two new schools and a rec centre scheduled to open in CityPlace. With the exception of a few cottages on the Island, this is a mostly house-free zone. But the neighbourhood has plenty to attract young professionals who are keen to ditch their cars and live, work and play in a skybox. And it’s only getting better: the new King Street Pilot serves as an ersatz subway extension, and the planned Rail Deck Park will add greenery that doesn’t require a ferry trip.","64.3","2.9","97.9","78.6","30.7","90.7","28.6","42.9","81.4","90.0"
"36",69,"Blake-Jones","At less than a square kilometre in size, Blake-Jones is one of Toronto’s tiniest neighbourhoods. Smaller still is the Pocket, a charming clutch of cul-de-sacs, accessible only by Jones Street and lined with gorgeous updated Victorians. Pocket dwellers are super-keeners: they host regular block parties and potlucks, and even planted Toronto’s largest urban orchard. Outside the Pocket, however, a stark income inequality emerges: housing prices soar well over $1 million, but the average resident only earns around $48,000, and one-quarter of Blake Jones residents live below the poverty line. This neighbourhood is evenly divided between first-, second- and third-generation Canadians, with many of the majority of new arrivals hailing from India, China and Greece.","60.7","70.7","65.7","78.6","37.9","76.4","22.1","22.9","87.9","53.6"
"37",65,"Greenwood-Coxwell","(Includes parts of Leslieville and Little India)
In 2001, it was possible to score one of Greenwood-Coxwell’s bay-and-gable homes for under $200,000. Today, prices have skyrocketed north of a million dollars. Serviced by two subway stops, two streetcar lines and 22 elementary and secondary schools, this neighbourhood is designed around young families, who love Monarch Park, with its outdoor pool and skating rink, as well as the colourful Gerrard Indian Bazaar, made up 125 South Asian shops importing specialty groceries and vibrant fabrics.","62.9","37.1","60.7","87.9","75.7","85.7","52.1","20.7","21.4","65.0"
"38",41,"Bridle Path-Sunnybrook-York Mills","(Includes parts of Hoggs Hollow, St. Andrews, Wanless Park and Teddington Park)
The city’s elite continues to lust over Bridle Path real estate — Drake’s 21,000-square foot mansion should be finished any day now. One per centers appreciate the area’s gigantic lots (many of them larger than three acres in size), which provide ultimate privacy behind their gilded fences. With more than half of the neighbourhood’s residents netting salaries over $300,000, locals aren’t bothered by the less-than-stellar TTC service, preferring their Jaguars and Lambos to the Rocket. Poor transit and walk scores aside, the neighbourhood has excellent healthcare, a sprawling park system and some of the city’s best private schools.","91.4","82.1","38.6","5.7","85.0","2.9","87.9","27.1","98.6","60.7"
"39",86,"Roncesvalles","(Includes parts of Parkdale)
Even as Toronto’s market cools, Roncesvalles continue to sizzle: housing prices have increased almost 14 per cent since last year, as flippers convert multi-unit Edwardian houses back into impressive single family homes. For commuters, it’s a dream, with a wealth of transit options (three streetcar lines and a subway stop) and the Gardiner a two-minute drive away. You can find just about anything along Roncey, from a $300 Le Creuset Dutch oven to bulk AstroTurf, and groceries range from Loblaws to green grocers to fancy fishmongers. And with dozens of restaurants, cafés and bars, there’s enough nightlife to rival the Ossington strip.","45.0","34.3","79.3","95.7","67.1","91.4","55.0","15.7","15.0","70.0"
"40",78,"Kensington-Chinatown","(Includes parts of Baldwin Village and Alexandra Park)
It’s easy to get anywhere from Kensington by food, bike or transit. But why leave? On an average night, you’ll find live music at Poetry Jazz Cafe, mescal tastings at El Rey and fine dining at Grey Gardens. For such a tiny pocket, it has the most grocery options in the city, including affordable Chinese grocers and specialty stores like Sanagan’s Meat Locker. And from May to October, Pedestrian Sundays giving residents a chance to peruse vintage clothing stores, sample some kombucha and join a drum circle or two. Of course, no neighbourhood is perfect. Crime rates are high, and the housing prices, while relatively reasonable by city standards at around $700,000, are too expensive for most locals, with only a third of residents owning their own homes.","25.0","4.3","95.0","100.0","82.9","98.6","5.0","56.4","97.1","31.4"
"41",16,"Stonegate-Queensway","(Includes parts of Sunnylea, Thompson Orchard and Norseman Heights)
For families seeking suburban living in the city, Stonegate-Queensway is the dream: lots are wide, large bungalows are well-kept, and houses sell for under $1 million. But those who rely on transit might want to keep away: the best bet is Mimico Station, where the GO train takes commuters on a breezy 17-minute ride to Union Station. The dining and entertainment options are limited, but the area has a fantastic network of parks surrounding Mimico Creek, including Jeff Healey Park with has two outdoor tennis courts, a baseball diamond and bike trails.","70.7","57.9","48.6","31.4","82.1","44.3","80.7","25.7","50.7","85.0"
"42",102,"Forest Hill North","Forest Hill is a pricey place to live, with an average house selling for $1.5 million. But there are good reasons to put down roots: low crime rates, great entertainment options and easy access to the subway. For those keeping score, the north side of the neighbourhood slightly edges out the south, with better access to grocery shopping, more diverse housing options and slightly more affordable home prices. It could use more public green space, but cyclists, runners and walkers can use the Beltline Trail to access nearby parks and ravines.","12.9","97.9","83.6","45.0","85.0","72.9","12.1","36.4","55.7","74.3"
"43",64,"Woodbine Corridor","(Includes parts of the Upper Beaches and Beach Hill)
The patch of land between Greenwood and Coxwell neighbourhood is home to a politically engaged and affluent population. Housing is a nice mix of single and semi-detached homes, and mid-rise apartments. Current residents are seeing their values rise steadily year over year, but the $1.1-million benchmark price makes it difficult for newcomers to break in. The local public schools, Bowmore and Monarch Park, are solid, and there are a smattering of public parks in the area—though Woodbine Beach is your best bet for fun and sun.","62.1","57.1","52.1","73.6","50.0","71.4","69.3","5.0","48.6","73.6"
"44",101,"Forest Hill South","Forest Hillers are tight-knit, traditional, and always ready to fight to protect their neighbourhood, whether the threats are McMansions or dog poop. One of the most exclusive neighbourhoods in Toronto, it's also one of the least affordable, though the average price of a home ($1.54 million) has actually gone down a smidge in the last year. Among its draws: a blissfully low crime rate and has some of the best public and private schools in the city, including Upper Canada College and Forest Hill Collegiate (Drake's alma mater before Degrassi).","67.9","92.9","64.3","12.9","67.1","27.1","33.6","7.9","95.7","87.1"
"45",3,"Thistletown-Beaumond Heights","This tiny pocket in the city's northwest corner was originally a Victorian village; you can still see an old stone farmhouse—built in 1833 for the town magistrate—on Jason Road. Some 200 years later, the hood is an affordable, diverse and quiet place to live. While it lacks entertainment, transit access and walkability, it's green and idyllic, bordered by the Humber River, and West Humber Parkland and Summerlea Park.","74.3","85.7","25.7","35.7","57.9","43.6","97.9","75.0","5.0","30.0"
"46",60,"Woodbine-Lumsden","(Includes parts of Woodbine Heights)
This small pocket between Woodbine and Main is low on crime and high on home ownership. The houses are mostly single-family semis, and the quiet streets are suited to cyclists, pedestrians and commuters. Taylor Creek Park is one of prettiest green spaces east of the Don Valley, with wildlife, mature forests, fire pits, picnic sites and 57 bike trails.","73.6","95.7","49.3","37.1","55.0","24.3","90.0","15.0","12.1","69.3"
"47",14,"Islington-City Centre West","(Includes parts of Eatonville, Burnhamthorpe and Six Points)
This massive stretch in Etobicoke is growing rapidly, adding new jobs and lots of condos. Housing affordability is middle of the road here—most residents live in apartments—but prices are stable. The area is better suited to drivers than cyclists or commuters, given the proximity of multiple highways, and the crime rate and entertainment options leave something to be desired. There is, however, one feature that few other neighbourhoods in Toronto enjoy: an IKEA.","68.6","7.1","82.1","45.7","77.9","57.1","25.7","49.3","75.0","67.1"
"48",12,"Markland Wood","(Includes parts of Bloordale Gardens)
A small, affluent community on the western edge of the city, Markland Wood isn't particularly walkable, and the entertainment options leave something to be desired. But the families who live there come for the quiet streets, low crime rates and great schools, including St. Clement, one of the Fraser Institute's highest-ranked spots. While there are some small parks in the neighbourhood, the big draw is nearby Centennial Park, a massive green space that includes a ski hill, BMX bike park, baseball diamonds and more.","93.6","96.4","17.9","25.0","53.6","17.9","57.1","30.0","52.9","77.1"
"49",83,"Dufferin Grove","(Includes parts of Bloorcourt Village and Brockton Village)
Often outshone by its fancier neighbours—Roncesvalles, Little Portugal—Dufferin Grove is super-walkable, flush with great schools, and packed with restaurants. You can head to the Drake Commissary for brunch, swing by the Burdock for a show, and consume plates of fresh pasta at Sugo. The crime rates could be lower, and so could housing prices: they've risen 10 per cent year over year, and only 39 per cent of residents can afford to buy in the area.","47.1","55.7","75.7","54.3","17.1","88.6","7.9","40.0","92.9","63.6"
"50",72,"Regent Park","(Includes parts of Treffan Court)
Just east of downtown, the formerly ragged ’hood has transformed into a diverse and thriving mixed-income community. Condo developers are snatching up tracts all over the place, and while prices climbed nearly six per cent over the last year, it's still possible to snag a home for $689,900—well below the city average. Public and private investments in Regent Park have funded fantastic recreational facilities, including athletic grounds financed by MLSE, which include a basketball court, hockey rink, running track and Toronto's best public pool.","20.7","77.1","71.4","76.4","14.3","82.1","82.9","61.4","21.4","25.7"
"51",128,"Agincourt South-Malvern West","(Includes parts of Brimley, White Haven and C.D. Farquharson)","35.7","29.3","44.3","60.0","81.4","62.9","39.3","97.9","80.0","29.3"
"52",122,"Birchcliffe-Cliffside","(Includes parts of Fallingbrook)","77.1","32.9","42.1","43.6","77.1","42.9","90.0","5.7","62.9","57.1"
"53",74,"North St. James Town",NA,"10.0","25.7","85.7","98.6","84.3","90.0","9.3","67.9","42.1","20.0"
"54",38,"Lansing-Westgate","(Includes parts of Armour Heights)","46.4","42.9","82.9","23.6","66.4","41.4","54.3","48.6","68.6","70.7"
"55",107,"Oakwood Village","(Includes parts of Northcliffe Village, Five Points and St. Clair West Village)","11.4","54.3","53.6","80.7","27.9","75.7","70.7","50.7","78.6","55.0"
"56",42,"Banbury-Don Mills","(Includes parts of Flemingdon Park)","55.7","50.0","45.7","17.1","61.4","34.3","74.3","53.6","88.6","72.9"
"57",48,"Hillcrest Village",NA,"41.4","60.0","15.7","42.1","67.1","47.9","42.9","95.7","97.9","41.4"
"58",130,"Milliken","(Includes parts of Port Royal, Armdale, Browns Corners and Goldhawk)","32.9","31.4","31.4","70.7","80.7","66.4","68.6","100.0","42.9","15.7"
"59",82,"Niagara","(Includes parts of Liberty Village and King West)","75.7","14.3","84.3","67.1","15.7","79.3","15.7","30.0","35.7","92.9"
"60",108,"Briar Hill-Belgravia",NA,"55.7","64.3","54.3","87.1","12.9","77.9","2.1","75.7","6.4","42.9"
